steps	episodes	elapsed	mean	median	stdev	max	min	average_q	average_loss	cumulative_steps	n_updates	rlen
435505	222	44894.13469529152	28.333333333333332	31.0	13.203534880225574	40.0	14.0	1.1988243	0.04726468650624156	435505	107624	300000
451505	230	46534.51884102821	17.0	10.0	13.892443989449804	33.0	8.0	1.2477579	0.04606239041313529	451505	111624	300000
465505	237	48034.79697060585	22.666666666666668	23.0	1.5275252316519468	24.0	21.0	1.2659004	0.04391631327569485	465505	115124	300000
481505	245	49651.89784646034	21.333333333333332	19.0	9.71253485622231	32.0	13.0	1.2759688	0.036780475778505205	481505	119124	300000
495505	252	51165.28310537338	32.666666666666664	37.0	8.386497083606082	38.0	23.0	1.3399469	0.043866188265383244	495505	122624	300000
511983	261	52864.71253108978	27.333333333333332	29.0	3.7859388972001824	30.0	23.0	1.3537067	0.05269921427592635	511983	126743	300000
525983	268	54378.95656108856	31.333333333333332	31.0	0.5773502691896257	32.0	31.0	1.3002642	0.04515966555103659	525983	130243	300000
541983	276	55978.3691906929	21.666666666666668	17.0	12.662279942148386	36.0	12.0	1.3658606	0.04723251035436988	541983	134243	300000
555983	283	57506.192970991135	36.333333333333336	34.0	7.767453465154029	45.0	30.0	1.3696369	0.044273803075775504	555983	137743	300000
571983	291	59144.860790491104	28.666666666666668	33.0	9.291573243177568	35.0	18.0	1.3571348	0.0475177382864058	571983	141743	300000
585983	298	60660.06270956993	34.333333333333336	34.0	5.507570547286102	40.0	29.0	1.358709	0.04628244116902351	585983	145243	300000
601983	306	62372.90440225601	28.666666666666668	30.0	5.131601439446884	33.0	23.0	1.4518454	0.051187947876751426	601983	149243	300000
615333	313	63831.65923690796	20.333333333333332	21.0	3.0550504633038935	23.0	17.0	1.4331424	0.044634071029722694	615333	152581	300000
631333	321	65515.26543021202	34.666666666666664	38.0	21.197484127446195	54.0	12.0	1.4567424	0.04572450755164027	631333	156581	300000
645333	328	67076.05187320709	37.666666666666664	40.0	4.041451884327381	40.0	33.0	1.4291303	0.04358093407005072	645333	160081	300000
661333	336	68788.86089038849	28.0	27.0	3.605551275463989	32.0	25.0	1.480946	0.04989894861355424	661333	164081	300000
675333	343	70394.14493846893	32.0	25.0	19.467922333931785	54.0	17.0	1.5027524	0.05006770366802812	675333	167581	300000
690524	351	71968.90216565132	28.333333333333332	22.0	21.22105872319601	52.0	11.0	1.4836227	0.04350220007821917	690524	171379	300000
706524	359	73700.07237577438	34.333333333333336	33.0	12.055427546683415	47.0	23.0	1.5091431	0.04920197067782283	706524	175379	300000
720524	366	75274.45596003532	41.666666666666664	49.0	18.14754345175493	55.0	21.0	1.5876842	0.05366314498707652	720524	178879	300000
736524	374	76929.43672990799	43.0	47.0	20.29778313018444	61.0	21.0	1.5647569	0.05225940182805061	736524	182879	300000
750524	381	78504.02989625931	34.666666666666664	38.0	9.451631252505216	42.0	24.0	1.6796074	0.05529564647004008	750524	186379	300000
766524	389	80130.32898426056	33.0	39.0	28.478061731796284	58.0	2.0	1.710098	0.05371045844629407	766524	190379	300000
