,e_steps,e_episodes,e_elapsed,e_mean,e_median,e_stdev,e_max,e_min,e_average_loss_1step,e_average_loss_nstep,e_average_loss_supervised,e_average_loss,e_n_updates
1,701838,352,14621.762734889982,33.666666666666664,34.0,0.5773502691896257,34.0,33.0,0.018304629786871373,0.034156459104269746,0.0011643677042047786,0.05362545659765601,175460
2,752043,378,22274.032512664795,30.66666666666667,32.0,5.131601439446884,35.0,25.0,0.015012414148077368,0.033066213317215445,0.001113717899004314,0.04919234558939934,188011
3,802386,404,29912.00781369209,46.33333333333334,44.0,4.0414518843273814,51.0,44.0,0.015649818610399963,0.040877895625308164,0.0017461486106267144,0.05827386276796461,200597
4,852386,429,37684.57110452652,27.66666666666667,26.0,8.621678104251709,37.0,20.0,0.018930306881666185,0.04196468577720225,0.0028180692533533148,0.0637130619585514,213097
5,903548,455,45622.68844938278,35.666666666666664,33.0,17.15614564327703,54.0,20.0,0.01782449982827529,0.042767714718356734,0.0022336318264319747,0.06282584682106973,225887
6,953538,480,53513.400950431824,36.0,37.0,2.6457513110645907,38.0,33.0,0.014560648093465715,0.03380064152181148,0.0017333239059280456,0.05009461365640164,238385
7,1002539,505,61288.768669128425,52.33333333333334,53.0,9.018499505645787,61.0,43.0,0.01262119081802666,0.03408135035075247,0.0009634467665443224,0.047665987629443414,250635
8,1052163,530,69302.62944626808,49.66666666666666,51.0,8.082903768654761,57.0,41.0,0.015811376499477774,0.04024222644977272,0.0018233779166070007,0.05787698082625866,263041
9,1103388,556,77502.94751405716,49.0,50.0,15.524174696260026,64.0,33.0,0.017945273022633046,0.040108173792250464,0.0014379427890617081,0.05949138961732388,275847
10,1152661,581,85416.72389650345,52.33333333333334,61.0,17.672954855748753,64.0,32.0,0.01565656137885526,0.03975910768844188,0.0011241896539628726,0.05653985895216465,288165
0,1004395,507,7506.306053161621,25.33333333333333,35.0,18.502252115170556,37.0,4.0,0.0186283852881752,0.03852360527962447,0.003514570236795978,0.060666560269892214,251100
1,1053825,532,14968.236846923828,29.0,30.0,3.6055512754639887,32.0,25.0,0.015420938900206238,0.03686481934972107,0.0009870104150621728,0.05327276848256588,263457
2,1103825,557,22503.017387390137,48.0,40.0,13.85640646055102,64.0,40.0,0.01579560559708625,0.036687495196238165,0.0019106607141840114,0.05439376156777143,275957
3,1153838,583,30152.27391028404,39.0,40.0,19.519221295943137,58.0,19.0,0.015052095504943281,0.034544299198314546,0.0021711589133087726,0.05176755344495177,288460
4,1203557,609,37977.828637361534,29.33333333333333,33.0,12.897028081435401,40.0,15.0,0.015474534176755697,0.03673431029543281,0.002876787931770508,0.05508563229814172,300890
5,1254035,635,45883.352687597275,42.66666666666666,43.0,2.516611478423583,45.0,40.0,0.014388752903323618,0.038589745266363024,0.0020891513362192526,0.055067649520933626,313510
6,1304843,661,53745.706217288964,20.33333333333333,18.0,21.594752448994022,43.0,0.0,0.0181615811935626,0.043556071957573286,0.004051318147473921,0.06576897142454982,326212
7,1354121,686,61697.77022862434,35.0,33.0,4.358898943540674,40.0,32.0,0.015563160330057144,0.03852452184073627,0.0013451421834415988,0.055432824455201625,338531
8,1403897,712,69670.01795077324,43.33333333333334,44.0,11.015141094572202,54.0,32.0,0.014867215841077268,0.0389615074545145,0.001407325029894082,0.05523604830726981,350975
9,1454528,739,77966.69192194939,42.66666666666666,43.0,11.503622617824929,54.0,31.0,0.015899105470161885,0.03843176827766001,0.001391730691888142,0.05572260465472936,363633
0,1530572,778,7445.179428815843,36.0,37.0,10.535653752852738,46.0,25.0,0.018356187392491848,0.03979884861037135,0.0008836074436567287,0.05903864335268736,382645
1,1580476,804,14842.984208345413,31.66666666666667,35.0,29.143323992525854,59.0,1.0,0.01800401008687913,0.035877887438982715,0.0016223928149604915,0.05550429042428732,395121
2,1631729,830,22664.042248487476,43.66666666666666,42.0,5.686240703077327,50.0,39.0,0.01842693238519132,0.04058106395415962,0.0012247076458879744,0.06023270417004824,407934
3,1680329,856,30166.379843235016,39.333333333333336,54.0,25.403411844343534,54.0,10.0,0.01730151551775634,0.0446845171879977,0.001961364751077781,0.06394739778712392,420084
4,1731373,883,38073.571560382836,51.33333333333334,56.0,15.534906930308056,64.0,34.0,0.015685253534466027,0.04393587484955788,0.0016484227912038918,0.061269550807774076,432845
